teamA_win,teamA_top_winrate_past_50_games,teamA_top_winrate_past_10_games,teamA_top_winrate_on_champ_past_50_games,teamA_top_winrate_on_champ_past_10_games,teamA_top_gold_per_min_on_champ_past_10_games,teamA_top_kill_participation_on_champ_past_10_games,teamA_top_kda_on_champ_past_10_games,teamA_top_num_games_played_on_champ_past_50_games,teamA_jg_winrate_past_50_games,teamA_jg_winrate_past_10_games,teamA_jg_winrate_on_champ_past_50_games,teamA_jg_winrate_on_champ_past_10_games,teamA_jg_gold_per_min_on_champ_past_10_games,teamA_jg_kill_participation_on_champ_past_10_games,teamA_jg_kda_on_champ_past_10_games,teamA_jg_num_games_played_on_champ_past_50_games,teamA_mid_winrate_past_50_games,teamA_mid_winrate_past_10_games,teamA_mid_winrate_on_champ_past_50_games,teamA_mid_winrate_on_champ_past_10_games,teamA_mid_gold_per_min_on_champ_past_10_games,teamA_mid_kill_participation_on_champ_past_10_games,teamA_mid_kda_on_champ_past_10_games,teamA_mid_num_games_played_on_champ_past_50_games,teamA_adc_winrate_past_50_games,teamA_adc_winrate_past_10_games,teamA_adc_winrate_on_champ_past_50_games,teamA_adc_winrate_on_champ_past_10_games,teamA_adc_gold_per_min_on_champ_past_10_games,teamA_adc_kill_participation_on_champ_past_10_games,teamA_adc_kda_on_champ_past_10_games,teamA_adc_num_games_played_on_champ_past_50_games,teamA_supp_winrate_past_50_games,teamA_supp_winrate_past_10_games,teamA_supp_winrate_on_champ_past_50_games,teamA_supp_winrate_on_champ_past_10_games,teamA_supp_gold_per_min_on_champ_past_10_games,teamA_supp_kill_participation_on_champ_past_10_games,teamA_supp_kda_on_champ_past_10_games,teamA_supp_num_games_played_on_champ_past_50_games,teamA_winrate_past_50_games,teamA_winrate_past_10_games,teamA_average_kill_participation_past_10_games,teamA_average_gold_per_min_past_10_games,teamB_top_winrate_past_50_games,teamB_top_winrate_past_10_games,teamB_top_winrate_on_champ_past_50_games,teamB_top_winrate_on_champ_past_10_games,teamB_top_gold_per_min_on_champ_past_10_games,teamB_top_kill_participation_on_champ_past_10_games,teamB_top_kda_on_champ_past_10_games,teamB_top_num_games_played_on_champ_past_50_games,teamB_jg_winrate_past_50_games,teamB_jg_winrate_past_10_games,teamB_jg_winrate_on_champ_past_50_games,teamB_jg_winrate_on_champ_past_10_games,teamB_jg_gold_per_min_on_champ_past_10_games,teamB_jg_kill_participation_on_champ_past_10_games,teamB_jg_kda_on_champ_past_10_games,teamB_jg_num_games_played_on_champ_past_50_games,teamB_mid_winrate_past_50_games,teamB_mid_winrate_past_10_games,teamB_mid_winrate_on_champ_past_50_games,teamB_mid_winrate_on_champ_past_10_games,teamB_mid_gold_per_min_on_champ_past_10_games,teamB_mid_kill_participation_on_champ_past_10_games,teamB_mid_kda_on_champ_past_10_games,teamB_mid_num_games_played_on_champ_past_50_games,teamB_adc_winrate_past_50_games,teamB_adc_winrate_past_10_games,teamB_adc_winrate_on_champ_past_50_games,teamB_adc_winrate_on_champ_past_10_games,teamB_adc_gold_per_min_on_champ_past_10_games,teamB_adc_kill_participation_on_champ_past_10_games,teamB_adc_kda_on_champ_past_10_games,teamB_adc_num_games_played_on_champ_past_50_games,teamB_supp_winrate_past_50_games,teamB_supp_winrate_past_10_games,teamB_supp_winrate_on_champ_past_50_games,teamB_supp_winrate_on_champ_past_10_games,teamB_supp_gold_per_min_on_champ_past_10_games,teamB_supp_kill_participation_on_champ_past_10_games,teamB_supp_kda_on_champ_past_10_games,teamB_supp_num_games_played_on_champ_past_50_games,teamB_winrate_past_50_games,teamB_winrate_past_10_games,teamB_average_kill_participation_past_10_games,teamB_average_gold_per_min_past_10_games,teamA_top_winrate_pro_past_10_games,teamA_jg_winrate_pro_past_10_games,teamA_mid_winrate_pro_past_10_games,teamA_adc_winrate_pro_past_10_games,teamA_supp_winrate_pro_past_10_games,teamB_top_winrate_pro_past_10_games,teamB_jg_winrate_pro_past_10_games,teamB_mid_winrate_pro_past_10_games,teamB_adc_winrate_pro_past_10_games,teamB_supp_winrate_pro_past_10_games,teamA_top_winrate_pro_past_50_games,teamA_jg_winrate_pro_past_50_games,teamA_mid_winrate_pro_past_50_games,teamA_adc_winrate_pro_past_50_games,teamA_supp_winrate_pro_past_50_games,teamB_top_winrate_pro_past_50_games,teamB_jg_winrate_pro_past_50_games,teamB_mid_winrate_pro_past_50_games,teamB_adc_winrate_pro_past_50_games,teamB_supp_winrate_pro_past_50_games,top_matchup_winrate_pro_current_season,jg_matchup_winrate_pro_current_season,mid_matchup_winrate_pro_current_season,adc_matchup_winrate_pro_current_season,supp_matchup_winrate_pro_current_season
0,0.6,0.4,1.0,1.0,337.45,0.66,6.31,10,0.6,0.4,0.44,0.5,360.12,0.51,6.9,11,0.6,0.4,0.56,0.6,429.73,0.53,19.5,12,0.6,0.4,0.71,0.71,542.61,0.7,16.8,7,0.6,0.4,0.14,0.14,216.83,0.19,9.0,6,0.88,1.0,0.31,1999.92,0.61,0.6,1.0,1.0,406.51,0.51,0,2,0.54,0.5,0.73,0.7,322.39,0.54,6.1,10,0.54,0.5,0.71,0.71,398.03,0.41,9.25,7,0.54,0.5,0.38,0.38,479.76,0.31,0,8,0.6,0.5,0.43,0.43,256.01,0.35,16.5,7,0.62,0.9,0.39,1931.05,0.2,0.6,0.3,0.4,0.3,0.7,0.5,0.6,0.5,0.5,0.48,0.5,0.42,0.42,0.42,0.64,0.58,0.6,0.44,0.44,0.53,0.52,0.46,0.67,0.36
1,0.6,0.5,0.33,0.33,470.66,0.22,2.67,3,0.54,0.4,0.7,0.7,350.51,0.63,5.27,2,0.54,0.4,0.67,0.67,402.88,0.34,8.67,6,0.54,0.4,1.0,1.0,507.36,1.0,0,1,0.58,0.4,0.78,0.78,248.9,0.75,22.75,6,0.62,0.9,0.31,1931.05,0.62,0.5,1.0,1.0,358.37,0.72,3.25,1,0.62,0.5,0.47,0.6,353.97,0.5,6.33,11,0.62,0.5,0.29,0.29,401.19,0.19,3.8,2,0.62,0.5,0.7,0.7,535.91,0.77,9.82,9,0.62,0.5,0.17,0.17,216.83,0.2,9.0,5,0.9,1.0,0.38,1999.92,0.6,0.7,0.5,0.3,0.5,0.8,0.6,0.3,0.5,0.4,0.58,0.48,0.58,0.4,0.56,0.66,0.52,0.38,0.56,0.42,0.8,0.63,0.77,0.44,0.6
1,0.62,0.5,0.0,0.0,0,0.0,0,0,0.62,0.5,0.43,0.6,355.93,0.49,6.25,10,0.62,0.5,0.53,0.6,412.99,0.54,19.75,13,0.62,0.5,0.56,0.6,501.17,0.5,12.8,16,0.62,0.5,0.62,0.7,259.26,0.63,31.33,10,0.9,1.0,0.4,1999.92,0.64,0.4,1.0,1.0,420.18,0.68,3.12,2,0.56,0.5,0.0,0.0,0,0.0,0,2,0.56,0.5,0.0,0.0,0,0.0,0,0,0.56,0.5,0.43,0.43,479.76,0.34,0,7,0.6,0.5,0.5,0.5,256.01,0.4,16.5,6,0.64,1.0,0.37,1944.27,0.6,0.6,0.2,0.5,0.4,0.3,0.5,0.1,0.6,0.6,0.62,0.5,0.4,0.42,0.54,0.44,0.46,0.38,0.48,0.48,0,0.63,0.58,0.3,0.5
1,0.6,0.4,1.0,1.0,419.74,0.68,0,1,0.56,0.5,0.0,0.0,0,0.0,0,0,0.56,0.5,0.5,0.5,372.93,0.58,14.0,2,0.56,0.5,0.33,0.33,482.45,0.26,0,6,0.58,0.5,0.4,0.4,253.64,0.32,11.0,5,0.64,1.0,0.37,1944.27,0.62,0.6,0.45,0.5,348.34,0.49,8.38,6,0.62,0.6,0.8,0.8,368.23,0.66,7.46,10,0.62,0.6,0.56,0.6,412.99,0.48,19.75,13,0.63,0.6,0.6,0.7,503.16,0.52,10.86,15,0.62,0.6,0.2,0.2,216.83,0.21,9.0,4,0.92,1.0,0.52,1999.92,0.6,0.4,0.4,0.5,0.5,0.5,0.5,0.3,0.6,0.4,0.62,0.42,0.48,0.48,0.48,0.56,0.48,0.42,0.42,0.42,0.6,0.58,0.49,0.7,0.66
1,0.82,0.8,0.5,0.5,466.37,0.26,5.33,1,0.82,0.8,0.0,0.0,0,0.0,0,0,0.82,0.8,0.93,0.9,459.65,0.54,5.12,13,0.82,0.8,0.73,0.8,566.95,0.7,12.0,12,0.82,0.8,0.76,0.9,275.98,0.75,18.71,11,1.0,1.0,0.54,2016.13,0.66,0.5,0.0,0.0,0,0,0,0,0.66,0.5,0.75,0.75,395.55,0.58,9.75,2,0.66,0.5,0.79,0.7,446.58,0.6,16.0,3,0.66,0.5,0.75,0.75,497.49,0.6,11.33,4,0.66,0.5,0.5,0.5,257.41,0.45,21.0,3,1.0,1.0,0.4,1966.37,0.5,0.2,0.5,0.5,0.3,0.7,0.4,0.4,0.3,0.6,0.44,0.42,0.44,0.56,0.56,0.51,0.42,0.54,0.48,0.42,0.33,0.6,0.42,0.54,0.6
0,0.68,0.5,0.81,0.7,427.84,0.36,8.71,13,0.68,0.5,0.0,0.0,0,0.0,0,0,0.68,0.5,0.0,0.0,0,0.0,0,0,0.68,0.5,0.78,0.78,512.68,0.71,19.75,7,0.68,0.5,0.88,0.88,246.81,0.75,22.5,5,1.0,1.0,0.4,1966.37,0.82,0.8,1.0,1.0,437.69,0.53,5.44,5,0.82,0.8,0.67,0.67,328.95,0.54,13.5,2,0.82,0.8,0.86,0.86,462.75,0.29,8.75,7,0.82,0.8,0.0,0.0,0,0.0,0,0,0.82,0.8,1.0,1.0,274.59,0.59,2.83,3,1.0,1.0,0.53,2016.13,0.4,0.6,0.6,0.6,0.3,0.7,0.6,0.6,0.4,0.67,0.5,0.61,0.44,0.56,0.58,0.52,0.46,0.58,0.43,0.67,0.56,0,0.5,0.38,0.33
0,0.68,0.6,0.8,0.8,355.15,0.65,4.0,5,0.68,0.6,0.62,0.5,343.53,0.32,10.4,10,0.68,0.6,0.83,0.8,434.27,0.64,17.6,3,0.68,0.6,1.0,1.0,497.49,0.75,11.33,3,0.68,0.6,0.5,0.5,258.01,0.42,5.0,2,1.0,1.0,0.5,1966.37,0.82,0.8,1.0,1.0,452.72,0.53,6.5,4,0.82,0.8,0.5,0.5,355.58,0.39,6.5,1,0.82,0.8,0.92,0.9,471.45,0.49,5.36,12,0.82,0.8,0.71,0.7,556.85,0.59,11.37,11,0.82,0.8,1.0,1.0,242.6,0.78,12.67,3,1.0,1.0,0.5,2016.13,0.4,0.7,0.5,0.4,0.5,0.7,0.6,0.4,0.5,0.6,0.52,0.7,0.54,0.5,0.46,0.52,0.44,0.44,0.54,0.4,0.55,0.73,0.6,0.48,0.5
1,0.68,0.5,0.8,0.7,438.4,0.36,6.78,13,0.68,0.5,0.6,0.5,353.87,0.34,13.75,10,0.68,0.5,0.71,0.71,375.11,0.56,5.78,6,0.68,0.5,0.75,0.75,512.45,0.71,17.5,6,0.68,0.5,0.86,0.86,251.48,0.76,20.0,5,1.0,1.0,0.45,1966.37,0.65,0.5,0.0,0.0,0,0,0,0,0.58,0.5,0.43,0.43,297.04,0.39,7.8,6,0.58,0.5,0.0,0.0,0,0.0,0,0,0.58,0.5,0.0,0.0,0,0,0,0,0.6,0.5,0.0,0.0,0,0.0,0,1,0.66,1.0,0.37,1944.27,0.7,0.6,0.6,0.7,0.7,0.4,0.4,0.3,0.5,0.4,0.52,0.5,0.56,0.48,0.62,0.42,0.52,0.42,0.5,0.5,1.0,0.6,0.0,0,0.6
0,0.68,0.6,1.0,1.0,422.82,0.59,3.46,3,0.68,0.6,1.0,1.0,395.55,0.77,9.75,1,0.68,0.6,0.6,0.5,479.65,0.42,10.33,11,0.68,0.6,0.0,0.0,0,0.0,0,0,0.68,0.6,0.0,0.0,0,0.0,0,0,1.0,1.0,0.52,1966.37,0.65,0.5,1.0,1.0,428.56,0.7,2.6,1,0.56,0.4,0.7,0.7,323.02,0.46,5.78,10,0.56,0.4,0.6,0.6,408.2,0.25,8.0,5,0.56,0.4,0.64,0.6,484.39,0.6,37.5,9,0.6,0.4,0.5,0.5,268.71,0.53,23.0,11,0.66,1.0,0.31,1944.27,0.4,0.3,0.4,0.6,0.4,0.5,0.5,0.3,0.5,0.7,0.44,0.48,0.42,0.53,0.4,0.46,0.48,0.54,0.46,0.64,0.0,0.54,0.48,0.83,0.5
1,0.59,0.3,0.0,0.0,0,0.0,0,0,0.54,0.4,0.0,0.0,0,0.0,0,0,0.54,0.4,0.0,0.0,0,0.0,0,1,0.54,0.4,0.67,0.67,497.79,0.46,5.75,3,0.6,0.4,0.33,0.33,223.67,0.44,17.0,3,0.66,1.0,0.3,1944.27,0.7,0.7,0.0,0.0,0,0.0,0,0,0.7,0.7,0.64,0.5,353.87,0.32,13.75,11,0.7,0.7,0.67,0.67,401.97,0.35,16.0,6,0.7,0.7,0.67,0.67,477.21,0.5,7.11,5,0.7,0.7,1.0,1.0,258.01,0.62,5.0,1,1.0,1.0,0.63,1966.37,0.4,0.5,0.7,0.4,0.3,0.5,0.3,0.4,0.6,0.5,0.52,0.59,0.5,0.56,0.46,0.44,0.48,0.44,0.56,0.5,0.5,0.0,0.61,0.53,0.33
